Frame Number,Total non-masked faces,Total masked faces,Non-masked Face ROIs,Masked Face ROIs
55,0,2,,"100,63,36,40;404,64,35,40"
56,0,1,,"404,64,36,40"
57,0,2,,"176,71,35,37;404,65,36,39"
58,0,2,,"176,71,34,37;404,65,36,40"
59,0,2,,"175,72,34,37;404,65,36,39"
60,0,3,,"97,62,38,42;175,72,34,37;405,66,35,38"
61,0,1,,"405,66,35,38"
62,0,1,,"405,66,35,39"
63,0,1,,"405,65,36,40"
64,0,1,,"405,65,36,39"
65,0,1,,"405,65,35,39"
66,0,1,,"405,65,36,39"
67,0,2,,"170,71,34,37;405,64,36,39"
68,0,2,,"169,71,34,37;405,64,36,39"
69,0,1,,"169,70,34,37"
70,0,0,,
71,0,1,,"94,69,36,40"
72,0,1,,"93,69,37,40"
73,0,1,,"406,60,37,41"
74,0,2,,"165,67,35,39;406,60,36,40"
75,0,2,,"165,67,35,38;406,60,37,40"
76,0,1,,"407,59,36,41"
77,0,1,,"407,60,37,40"
78,0,1,,"407,60,37,41"
79,0,1,,"407,60,37,41"
80,0,2,,"164,67,35,38;408,61,37,40"
81,0,2,,"163,67,36,39;408,61,37,41"
82,0,2,,"163,67,36,39;409,62,37,40"
83,0,1,,"409,62,37,41"
84,0,2,,"93,64,36,39;410,63,37,40"
85,0,2,,"94,64,36,39;410,64,37,40"
86,0,2,,"93,64,37,39;410,64,37,40"
87,0,2,,"93,63,37,40;411,65,37,40"
88,0,2,,"93,62,37,40;411,65,37,40"
89,0,2,,"93,62,37,40;412,65,36,40"
90,0,2,,"93,61,37,41;412,65,36,41"
91,0,2,,"93,61,38,42;413,65,35,41"
92,0,2,,"92,62,39,42;413,66,35,40"
93,0,3,,"161,72,36,39;93,62,38,42;413,66,35,40"
94,0,3,,"162,72,35,39;93,63,38,42;414,65,34,41"
95,0,3,,"161,73,36,39;94,64,38,41;415,65,33,40"
96,0,3,,"162,73,36,39;94,65,38,43;416,64,32,41"
97,0,3,,"163,73,35,38;96,65,38,43;417,64,31,41"
98,0,3,,"162,73,36,39;95,66,39,44;417,63,31,41"
99,0,2,,"95,67,39,44;418,63,30,41"
100,0,2,,"95,67,39,44;418,62,30,41"
101,0,2,,"96,67,39,44;419,62,29,40"
102,0,2,,"96,67,39,44;419,61,29,41"
103,0,2,,"163,69,35,39;96,67,40,45"
104,0,2,,"163,69,35,38;97,66,40,45"
105,0,2,,"164,68,35,38;98,67,39,44"
106,0,2,,"164,68,34,38;98,66,39,45"
107,0,3,,"420,59,28,42;163,68,35,37;97,66,41,45"
108,0,2,,"421,58,27,42;97,65,41,46"
109,0,2,,"421,59,27,41;97,64,41,45"
110,0,1,,"97,63,40,46"
111,0,1,,"97,62,40,46"
112,0,1,,"97,61,41,46"
113,0,1,,"97,60,41,46"
114,0,1,,"96,60,42,46"
115,0,1,,"96,59,41,46"
116,0,1,,"96,58,41,46"
117,0,2,,"159,69,36,38;95,58,41,46"
118,0,2,,"159,69,35,38;95,58,41,45"
119,0,2,,"158,70,35,38;95,58,41,45"
120,0,1,,"95,58,41,45"
121,0,1,,"95,58,41,45"
122,0,1,,"95,59,40,45"
123,0,0,,
124,0,0,,
125,0,0,,
126,0,0,,
127,0,0,,
128,0,0,,
129,0,1,,"93,65,40,44"
130,0,1,,"93,65,39,43"
131,0,0,,
132,0,0,,
133,0,1,,"71,59,43,48"
134,0,2,,"149,70,35,38;72,59,42,48"
135,0,0,,
136,0,0,,
137,0,0,,
138,0,0,,
139,0,0,,
140,0,0,,
141,0,0,,
142,0,1,,"318,53,33,38"
143,0,1,,"319,53,32,36"
144,0,1,,"319,53,33,37"
145,0,1,,"319,52,34,38"
146,0,1,,"146,67,37,41"
147,0,2,,"349,63,41,43;146,68,37,40"
148,0,2,,"202,80,39,42;146,68,37,39"
149,0,1,,"147,69,36,39"
150,0,1,,"147,70,36,40"
151,0,1,,"147,71,37,39"
152,0,1,,"148,71,37,39"
153,0,2,,"289,62,35,37;148,71,37,40"
154,0,3,,"86,59,41,44;290,61,33,36;149,71,36,40"
155,0,1,,"150,72,36,39"
156,0,1,,"150,72,36,38"
157,0,1,,"151,72,35,38"
158,0,3,,"348,57,43,45;324,53,34,38;151,72,36,38"
159,0,3,,"348,57,43,45;324,54,34,37;152,72,36,38"
160,0,3,,"348,56,44,46;324,54,34,38;152,71,36,39"
161,0,2,,"348,56,44,46;324,55,34,38"
162,0,2,,"349,56,43,46;324,56,34,37"
163,0,1,,"324,56,34,37"
164,0,1,,"324,57,34,37"
165,0,1,,"325,57,33,37"
166,0,1,,"325,58,34,37"
167,0,1,,"325,58,33,36"
168,0,3,,"290,58,34,35;156,65,35,37;324,57,34,37"
169,0,4,,"198,86,37,40;290,58,34,36;156,65,35,38;325,57,33,37"
170,1,5,"261,136,38,44","391,66,38,40;198,87,37,39;290,59,35,36;156,65,36,38;325,57,33,36"
171,1,3,"264,139,36,42","89,61,42,46;290,59,34,36;155,64,37,40"
172,0,3,,"89,61,42,47;290,59,35,36;155,64,37,39"
173,0,1,,"155,63,37,41"
174,0,1,,"154,63,38,41"
175,0,1,,"154,63,38,41"
176,0,2,,"208,73,36,39;154,63,39,42"
177,0,2,,"88,56,41,45;208,73,35,38"
178,0,3,,"390,62,40,43;89,56,40,43;208,73,35,38"
179,0,2,,"390,62,40,42;207,73,35,38"
180,0,3,,"359,65,37,40;391,62,39,42;203,73,42,44"
181,0,1,,"360,64,37,39"
182,0,1,,"361,63,36,38"
183,0,1,,"361,63,36,37"
184,1,1,"415,55,32,36","362,62,36,39"
185,1,3,"416,56,31,36","202,74,47,53;154,69,36,40;362,61,37,39"
186,0,1,,"154,70,36,38"
187,0,1,,"154,70,36,38"
188,0,1,,"153,71,36,38"
189,0,0,,
190,0,2,,"416,58,32,37;362,56,40,44"
191,0,1,,"362,56,40,43"
192,0,1,,"362,55,40,44"
193,0,1,,"362,55,42,45"
194,0,1,,"362,55,43,46"
195,0,1,,"362,55,42,45"
196,0,1,,"362,54,42,45"
197,0,2,,"146,67,38,41;362,53,42,45"
198,0,2,,"146,67,37,41;362,55,42,44"
199,0,2,,"145,66,37,41;362,55,42,44"
200,0,2,,"144,66,38,41;363,56,41,45"
201,0,2,,"143,65,39,42;362,56,42,45"
202,0,2,,"144,64,38,42;363,57,42,46"
203,0,2,,"144,64,38,42;362,57,43,45"
204,0,3,,"198,86,40,42;143,64,38,42;362,58,43,45"
205,0,3,,"197,85,42,44;143,64,38,42;362,59,43,45"
206,0,3,,"294,58,35,38;143,64,38,42;362,59,42,45"
207,0,4,,"402,61,42,46;295,58,35,38;143,64,37,41;362,60,42,45"
208,0,2,,"143,64,37,41;363,60,41,45"
209,0,2,,"143,64,37,41;362,61,42,45"
210,0,2,,"143,65,37,41;363,61,41,44"
211,0,3,,"200,81,41,44;143,65,37,42;363,61,41,44"
212,0,2,,"143,65,38,41;363,60,41,45"
213,0,2,,"143,66,37,41;363,60,41,44"
214,0,3,,"295,60,36,39;143,66,37,41;363,60,40,44"
215,0,3,,"295,60,36,38;143,67,37,40;363,59,41,44"
216,1,3,"258,87,40,41","295,60,36,38;143,68,37,40;363,58,40,44"
217,1,3,"259,88,40,41","295,60,36,39;143,69,37,39;363,56,41,44"
218,1,3,"258,88,40,41","295,60,36,39;143,69,37,40;363,56,42,46"
219,0,3,,"295,60,36,39;144,70,36,39;363,55,42,45"
220,0,2,,"143,70,37,40;363,54,41,45"
221,0,2,,"144,71,36,40;363,53,43,46"
222,0,2,,"144,71,36,40;363,51,43,46"
223,0,2,,"144,71,37,40;363,51,43,46"
224,1,2,"256,89,40,41","144,70,37,42;363,50,43,46"
225,1,2,"256,89,39,40","145,70,37,41;364,49,42,46"
226,1,2,"255,88,40,41","145,69,38,42;365,49,43,47"
227,1,3,"255,88,40,41","203,83,41,44;146,68,37,42;365,49,43,47"
228,1,2,"254,87,41,42","146,68,37,41;365,49,44,47"
229,2,2,"337,62,37,43;253,86,42,43","146,67,38,41;366,49,44,48"
230,0,2,,"146,66,38,41;366,49,45,48"
231,0,2,,"147,66,37,40;366,49,46,49"
232,0,2,,"147,65,37,41;367,50,45,49"
233,0,3,,"203,87,41,44;147,64,38,42;367,50,46,49"
234,0,4,,"82,55,44,50;202,86,42,45;146,63,38,42;368,51,46,49"
235,0,3,,"82,55,42,47;146,63,38,42;369,52,46,49"
236,0,3,,"335,59,36,39;146,62,38,42;370,53,46,49"
237,0,3,,"335,58,36,39;146,61,38,42;371,54,45,48"
238,0,4,,"410,62,37,43;335,58,36,40;146,61,38,41;372,55,45,48"
239,0,4,,"410,61,37,43;335,58,36,40;145,61,39,42;373,56,45,49"
240,1,3,"255,80,41,43","334,58,37,40;145,61,39,42;374,56,44,47"
241,1,3,"255,80,41,44","334,58,37,40;145,62,38,41;376,58,43,46"
242,1,3,"256,80,40,44","334,58,36,40;145,62,38,41;377,59,43,46"
243,1,3,"256,81,40,43","334,59,37,40;145,63,38,41;378,60,44,47"
244,1,3,"256,81,40,45","334,59,37,42;144,63,39,42;379,61,44,47"
245,1,3,"255,81,42,45","333,60,38,40;144,64,39,41;380,61,44,46"
246,1,4,"256,81,41,44","300,61,36,39;333,61,38,41;144,65,38,41;382,61,43,45"
247,1,4,"257,82,40,45","300,61,37,39;333,62,38,42;144,66,38,41;383,61,42,46"
248,1,3,"256,83,42,45","333,63,38,42;144,66,37,41;384,61,43,45"
249,1,3,"257,84,41,44","333,64,38,42;143,67,38,41;386,60,43,47"
250,2,2,"361,56,36,39;257,84,42,45","143,68,37,41;387,59,43,46"
251,2,2,"362,55,36,41;258,85,41,44","142,69,38,41;389,59,43,47"
252,2,2,"362,54,37,42;259,84,40,44","141,69,38,42;391,58,43,46"
253,2,3,"363,54,37,41;259,84,41,44","201,74,43,47;140,69,38,43;392,57,43,46"
254,2,4,"364,53,38,42;259,84,41,44","335,66,38,41;201,74,42,46;139,70,38,42;393,57,44,47"
255,2,4,"366,52,37,42;260,83,41,45","336,65,38,43;201,75,43,47;138,70,39,42;393,56,44,46"
256,2,4,"367,52,37,42;260,83,41,44","336,65,38,42;202,76,43,48;138,70,38,41;395,55,43,46"
257,2,3,"367,52,37,42;261,82,41,44","336,65,38,42;137,70,38,42;396,54,43,46"
258,2,3,"368,52,37,41;261,82,42,44","336,64,38,42;136,69,38,42;396,55,43,46"
259,2,3,"369,52,37,41;262,81,41,44","336,63,38,43;134,69,39,42;397,54,44,47"
260,2,3,"369,52,37,41;262,80,41,44","336,62,39,43;134,68,38,42;398,53,43,46"
261,2,3,"369,52,38,41;262,79,42,45","336,61,38,42;133,67,39,44;399,51,43,46"
262,2,3,"370,52,37,41;262,78,42,44","336,60,38,42;132,66,39,44;400,52,42,45"
263,3,4,"192,73,40,46;371,52,37,41;263,78,41,45","305,55,37,40;336,59,38,42;132,65,40,46;400,52,43,46"
264,2,4,"371,52,37,42;263,77,41,45","305,55,37,41;336,58,37,41;131,63,40,45;399,53,45,47"
265,2,4,"372,53,37,42;263,76,42,45","305,55,38,42;336,57,37,41;130,62,39,44;401,52,43,46"
266,2,4,"372,53,38,42;263,76,42,44","206,85,42,46;305,55,38,42;129,62,39,44;402,52,43,47"
267,2,4,"373,54,37,41;263,75,41,45","206,85,42,45;305,55,38,42;129,61,39,43;403,52,44,46"
268,3,4,"192,74,41,45;374,55,37,41;263,75,42,45","206,84,42,46;306,55,37,42;128,61,40,43;404,52,43,46"
269,3,4,"192,73,43,49;375,55,37,41;263,74,42,45","207,84,42,46;306,56,38,41;128,60,39,43;404,53,43,46"
270,3,4,"191,74,42,45;375,55,37,42;263,74,42,45","335,56,38,42;306,56,38,41;128,60,39,43;404,54,43,46"
271,3,4,"191,75,43,47;376,55,37,41;263,75,42,45","335,56,39,43;306,56,38,41;128,60,39,42;405,54,43,47"
272,2,4,"377,56,37,41;264,75,41,46","335,56,38,42;307,57,38,41;128,60,39,42;405,55,43,46"
273,2,4,"376,55,38,44;264,76,42,45","335,57,38,42;307,57,38,41;128,60,39,42;406,55,42,46"
274,2,5,"377,56,38,43;264,76,41,45","208,79,42,46;334,58,39,41;307,58,38,40;128,60,39,43;405,57,43,47"
275,2,4,"377,55,38,43;264,76,42,45","208,77,42,46;307,58,38,41;128,60,39,44;405,58,43,48"
276,2,5,"378,55,37,43;265,77,41,45","64,47,43,50;207,75,43,47;307,58,38,41;128,61,39,43;406,59,42,48"
277,2,5,"378,56,38,42;265,79,41,46","64,47,44,49;208,74,43,47;308,58,37,41;128,61,39,43;407,60,41,48"
278,2,5,"378,55,37,42;265,80,41,46","64,47,44,50;198,70,50,55;308,59,37,40;128,62,39,43;407,60,41,49"
279,2,6,"379,55,37,41;265,80,41,46","333,62,38,43;64,48,44,49;194,68,55,60;308,59,37,41;128,63,39,43;408,61,40,49"
280,2,6,"379,54,37,41;264,80,42,46","331,61,39,43;65,49,43,49;200,67,51,57;308,59,38,42;128,63,39,45;409,61,39,49"
281,2,6,"379,53,38,42;264,81,42,46","331,62,38,42;65,50,43,49;201,67,50,55;308,59,38,42;128,64,39,44;409,61,39,49"
282,2,8,"379,53,38,41;264,82,41,46","270,53,32,34;356,55,35,38;330,62,38,42;65,51,44,49;203,68,48,53;308,59,38,41;128,65,39,44;410,61,39,48"
283,2,7,"380,52,37,41;264,82,41,46","356,55,35,38;329,62,39,43;65,52,44,50;204,68,47,52;308,58,38,42;128,66,39,43;412,61,37,48"
284,2,5,"380,52,38,41;263,82,42,46","357,55,35,39;328,61,39,43;65,53,44,50;128,66,39,44;412,61,37,48"
285,2,5,"381,51,37,42;263,81,42,46","357,55,35,40;328,62,39,42;66,53,44,51;127,66,40,45;413,60,36,47"
286,2,4,"381,51,38,41;263,81,41,45","357,55,36,40;65,54,44,51;127,67,40,45;414,60,35,47"
287,2,4,"381,50,39,42;262,80,42,46","357,55,34,39;65,55,45,51;127,67,41,45;414,59,34,47"
288,2,3,"382,49,38,43;262,80,42,47","357,55,35,39;66,55,44,51;127,68,40,44"
289,2,3,"383,49,38,43;261,79,42,46","357,55,35,39;67,55,44,51;128,68,40,44"
290,2,4,"383,49,38,43;261,78,42,47","325,58,40,43;358,56,34,37;66,55,45,51;128,68,40,44"
291,2,3,"384,50,38,41;261,78,42,46","325,57,39,43;67,55,45,51;127,68,41,45"
292,2,3,"384,50,38,42;262,77,42,46","325,56,39,43;67,54,46,52;127,67,41,44"
293,2,3,"385,51,39,43;262,76,42,46","325,56,39,43;68,54,45,51;128,66,40,44"
294,2,3,"386,51,39,42;262,75,42,46","325,55,39,43;67,53,47,52;128,66,40,43"
295,2,4,"387,51,39,43;262,75,42,46","358,57,35,38;324,54,40,43;67,52,47,52;128,65,40,44"
296,2,4,"388,52,39,43;263,75,42,45","358,58,34,37;324,53,39,43;67,52,47,52;128,64,40,44"
297,2,4,"388,52,39,43;263,74,42,47","358,57,34,38;324,53,39,44;68,51,46,51;128,64,39,43"
298,2,4,"389,53,39,43;263,74,42,47","358,58,34,37;324,54,40,44;68,50,46,51;127,62,40,45"
299,2,4,"391,53,38,43;263,74,42,46","359,58,34,38;324,54,39,44;68,49,45,51;126,61,41,46"
300,2,4,"392,53,38,43;263,74,42,47","359,59,34,37;324,55,40,45;68,48,45,52;125,61,41,46"
301,2,4,"392,54,39,42;264,74,41,46","359,60,34,37;323,55,41,46;68,47,45,51;125,60,41,45"
302,2,4,"393,54,38,42;264,75,42,45","359,59,34,38;323,56,41,46;67,46,46,52;124,59,41,45"
303,2,4,"395,53,38,43;264,76,42,45","360,60,33,36;323,57,40,45;67,45,45,52;124,59,41,45"
304,2,4,"396,53,38,42;264,76,42,46","360,59,35,37;323,57,40,46;66,44,45,52;123,58,41,45"
305,2,4,"396,52,39,43;264,77,42,45","361,59,34,37;323,59,41,46;65,43,45,52;123,58,40,44"
306,3,4,"154,81,34,38;398,52,38,42;264,78,42,46","361,58,35,38;323,60,41,46;64,43,46,50;122,58,41,44"
307,3,4,"153,81,35,38;399,52,38,42;264,79,42,46","362,58,34,38;324,61,40,45;64,42,45,51;121,58,41,45"
308,2,4,"400,51,38,42;264,81,43,46","362,57,35,38;324,61,42,46;64,42,45,51;120,58,41,47"
309,2,4,"401,51,38,43;264,81,43,46","363,57,34,37;325,62,41,46;62,43,46,51;120,58,41,46"
310,2,4,"401,50,39,43;264,83,43,46","363,56,34,37;326,62,41,46;62,43,45,51;119,59,41,44"
311,2,4,"402,50,39,43;264,83,43,46","363,56,34,37;327,62,40,46;61,44,46,51;119,60,41,45"
312,3,4,"155,83,34,37;403,49,39,43;265,83,43,47","363,55,35,38;328,62,40,46;60,44,46,52;118,61,40,44"
313,3,3,"156,83,34,37;404,49,39,43;266,84,43,46","328,61,40,46;60,45,46,51;118,62,40,44"
314,3,3,"156,83,35,37;404,48,39,44;266,84,43,47","329,61,40,45;59,46,46,52;116,62,41,45"
315,3,3,"157,84,34,36;405,48,39,44;266,84,43,46","330,60,40,46;58,48,46,51;116,63,40,44"
316,2,3,"406,48,39,43;267,83,43,46","329,59,41,46;57,49,46,52;114,64,41,44"
317,2,3,"407,48,39,44;267,83,43,46","366,54,33,37;330,58,40,46;57,50,46,51"
318,2,3,"407,48,39,44;267,83,44,46","366,55,34,37;330,57,41,46;56,50,46,52"
319,2,3,"408,49,39,43;268,82,43,47","366,54,35,38;331,57,40,46;55,51,45,51"
320,2,3,"409,49,39,44;268,81,43,47","366,54,35,38;330,55,41,46;53,52,46,52"
321,2,4,"409,49,39,44;269,80,43,47","108,66,40,45;366,54,35,38;330,53,40,46;52,52,46,52"
322,2,4,"410,50,38,44;269,80,43,46","105,65,43,48;367,55,34,37;330,52,40,46;51,52,46,53"
323,2,4,"410,51,38,44;269,79,43,46","104,65,42,46;367,54,35,38;330,51,40,45;49,52,47,53"
324,2,3,"410,51,38,44;269,78,43,46","367,55,35,37;330,52,41,46;48,52,46,53"
325,2,3,"410,52,38,44;269,78,43,46","367,55,35,37;330,51,41,46;46,51,47,53"
326,2,3,"411,52,37,44;269,78,43,45","368,55,35,38;330,50,40,45;46,50,46,53"
327,2,3,"411,53,37,44;270,77,42,46","368,56,35,37;330,51,41,46;45,50,46,53"
328,2,4,"412,52,36,45;270,77,43,46","98,61,41,45;369,56,34,37;330,51,41,45;44,50,46,53"
329,2,4,"412,52,36,46;269,76,43,47","97,60,40,44;369,57,34,37;330,51,40,46;42,49,47,53"
330,4,4,"124,73,38,40;269,153,45,51;412,53,36,45;269,77,44,46","96,60,40,44;369,57,34,37;330,52,40,45;41,47,48,54"
331,3,4,"124,73,38,40;412,52,36,45;269,77,43,46","94,59,42,46;369,57,35,38;330,53,41,45;41,46,47,54"
332,3,4,"124,73,38,40;413,52,35,45;269,77,43,47","94,57,41,46;369,57,34,38;330,54,41,46;38,44,49,56"
333,3,4,"124,73,37,40;413,51,35,46;269,78,43,46","93,57,41,46;369,58,35,37;330,55,40,46;38,43,49,55"
334,3,4,"124,73,37,40;413,51,35,45;269,78,43,47","92,56,42,46;369,58,35,38;330,57,41,46;35,42,50,57"
335,3,4,"124,74,38,40;413,50,35,46;269,79,43,47","91,56,42,45;370,58,35,38;329,57,41,46;36,41,50,55"
336,3,4,"125,74,37,40;414,49,34,46;268,81,44,46","91,56,41,45;370,58,34,38;329,58,41,46;36,40,49,56"
337,3,4,"124,75,37,38;414,49,34,45;268,82,44,47","90,55,42,45;370,58,35,37;329,59,41,46;36,40,49,55"
338,3,4,"124,75,37,39;414,48,34,46;268,82,44,47","90,55,42,47;370,58,35,37;328,59,41,46;35,39,49,55"
339,2,4,"414,47,34,46;268,84,45,47","89,55,42,46;370,57,34,38;327,59,41,46;35,39,48,54"
340,2,4,"415,47,33,45;268,85,45,49","89,55,41,46;370,57,35,38;326,59,41,46;32,39,50,56"
341,2,4,"415,46,33,46;267,87,45,48","88,56,41,45;371,56,35,38;325,59,41,45;32,39,50,56"
342,2,4,"416,46,32,45;267,87,45,48","87,56,42,46;371,55,34,38;324,58,41,46;31,40,50,56"
343,1,4,"266,88,45,48","87,56,41,47;370,56,35,37;323,57,42,46;31,40,49,56"
344,1,4,"265,88,45,48","86,57,42,46;370,55,35,38;323,57,41,45;30,41,49,56"
345,1,4,"264,88,45,47","85,58,42,46;370,55,35,38;322,56,42,46;29,42,50,56"
346,1,4,"264,88,45,47","84,58,42,47;370,55,35,38;321,55,42,46;29,43,49,56"
347,1,4,"264,88,44,46","84,59,42,47;370,55,35,38;321,53,42,46;29,45,49,55"
348,2,4,"125,78,38,41;263,88,45,47","83,60,42,46;371,54,35,38;321,53,41,45;29,46,48,56"
349,2,4,"125,77,38,42;263,87,45,47","83,61,42,46;371,53,35,39;320,52,42,45;28,48,49,56"
350,2,4,"126,77,37,41;262,87,46,47","82,61,42,47;371,53,35,38;320,51,42,45;28,48,48,56"
351,2,5,"126,77,37,41;262,87,45,47","346,52,39,42;81,62,43,48;371,53,36,39;320,50,42,46;26,49,50,57"
352,2,5,"125,76,37,40;261,86,46,48","346,52,39,42;81,61,43,49;372,53,35,39;320,49,42,46;25,50,51,57"
353,2,5,"126,76,37,40;261,86,46,47","346,51,40,43;80,62,44,48;372,53,35,39;320,49,42,46;24,50,51,58"
354,2,5,"126,75,37,41;261,85,46,48","347,51,40,43;80,62,44,49;372,53,35,39;320,49,42,46;24,51,51,57"
355,2,4,"126,75,37,41;261,84,46,48","80,61,44,51;372,53,36,38;320,50,42,45;23,51,52,58"
356,2,4,"126,74,37,41;260,83,47,47","80,60,44,51;372,53,36,39;320,50,42,46;23,51,52,58"
357,2,4,"126,74,37,42;261,83,46,47","79,60,44,49;373,52,36,39;320,50,42,46;23,51,52,58"
358,2,4,"125,73,38,42;261,82,46,47","79,60,44,48;373,53,36,39;320,51,42,46;22,50,52,59"
359,2,5,"125,73,38,42;260,81,46,47","349,51,41,44;79,59,44,49;374,54,35,38;320,52,42,47;22,49,51,59"
360,2,5,"125,73,38,42;260,81,46,47","350,51,41,43;80,58,44,49;374,54,35,39;320,54,43,47;21,49,51,57"
361,2,5,"125,73,38,42;261,81,45,47","351,50,41,44;79,57,44,49;375,54,35,39;320,55,43,47;21,48,50,57"
362,2,5,"125,73,38,42;260,81,46,47","352,50,41,45;79,57,44,48;375,55,35,38;320,56,44,48;19,47,50,58"
363,2,5,"125,72,38,43;260,80,46,48","353,50,41,45;80,56,43,48;375,56,36,38;321,57,43,48;17,46,51,58"
364,2,5,"124,73,39,42;260,81,46,48","354,50,41,45;80,55,42,48;376,56,35,39;321,58,43,49;15,44,51,60"
365,2,5,"124,73,39,42;260,81,46,48","355,51,40,44;79,54,43,47;376,57,36,38;322,59,43,47;14,44,51,58"
366,2,5,"124,73,39,42;260,82,46,48","355,51,41,45;79,54,42,46;377,57,35,38;323,59,43,47;13,43,49,57"
367,2,5,"123,73,38,42;260,83,46,48","356,52,41,44;78,53,43,48;378,57,35,38;323,60,43,47;11,42,49,57"
368,2,5,"123,74,38,42;259,84,47,48","357,52,41,45;77,52,44,49;379,57,35,38;324,61,43,47;9,41,49,58"
369,2,6,"123,75,38,41;259,85,47,49","186,74,43,45;358,53,41,43;77,51,43,49;380,57,35,38;325,60,43,47;8,41,49,58"
370,2,6,"123,75,38,42;259,86,47,49","186,74,42,45;359,53,41,44;76,51,43,48;380,56,36,38;325,60,43,47;5,41,50,58"
371,2,6,"123,76,38,42;259,87,47,49","186,73,42,46;361,54,40,44;74,51,45,49;381,56,36,38;326,59,43,47;4,40,50,58"
372,2,6,"122,77,39,42;259,89,48,49","185,73,43,46;362,54,41,44;74,50,45,50;381,55,36,39;326,57,43,47;1,40,51,58"
373,2,6,"122,77,39,42;259,89,47,48","185,73,42,45;363,54,41,44;74,50,44,49;382,55,36,39;327,57,43,47;0,41,50,57"
374,1,6,"121,78,39,41","184,73,42,45;364,54,41,43;74,51,43,48;383,54,36,38;328,56,42,46;0,41,48,58"
375,1,5,"121,78,38,41","184,72,41,44;73,51,44,49;384,53,35,38;327,55,43,46;-2,41,47,58"
376,1,5,"120,78,39,41","184,72,41,44;72,51,44,49;385,53,35,38;327,54,43,46;-1,43,46,58"
377,1,5,"119,78,38,41","183,71,42,45;71,52,44,48;386,53,34,37;327,52,43,46;-1,45,45,58"
378,1,5,"119,78,38,41","182,71,42,45;71,52,44,49;387,52,34,38;327,51,43,47;-1,44,44,60"
379,1,3,"118,78,39,40","183,70,41,44;70,53,44,48;327,50,43,47"
380,1,3,"117,77,39,41","182,69,42,44;70,54,43,48;326,48,44,48"
381,1,4,"117,77,39,41","372,51,40,44;182,69,41,44;69,54,44,49;326,47,44,49"
