Frame Number,Total non-masked faces,Total masked faces,Non-masked Face ROIs,Masked Face ROIs
94,2,0,"381,87,36,44;118,70,40,43",
95,2,0,"382,88,35,43;118,70,40,43",
96,2,0,"382,88,35,43;118,70,40,43",
97,2,0,"383,88,34,42;118,70,39,43",
98,2,0,"384,88,33,42;118,71,40,42",
99,2,0,"384,88,33,42;119,71,39,42",
100,1,0,"119,72,39,42",
101,1,0,"119,72,39,42",
102,1,0,"119,72,39,42",
103,1,0,"119,72,39,42",
104,1,0,"119,72,40,43",
105,1,0,"119,73,39,42",
106,1,0,"120,73,39,42",
107,1,0,"119,73,40,43",
108,1,0,"119,74,40,42",
109,1,0,"120,74,39,43",
110,1,0,"120,75,39,42",
111,1,0,"120,75,39,42",
112,1,0,"120,76,39,42",
113,1,0,"120,76,39,42",
114,1,2,"120,76,40,42","300,37,34,39;365,49,39,42"
115,1,1,"121,76,39,43","300,37,34,38"
116,1,1,"121,77,39,42","300,37,34,38"
117,1,1,"121,77,39,42","301,37,34,38"
118,1,1,"121,78,40,42","301,37,34,38"
119,1,1,"122,78,39,42","301,37,34,38"
120,1,1,"122,78,39,43","301,37,35,38"
121,1,1,"123,78,39,43","301,36,35,39"
122,1,1,"123,78,39,43","301,36,35,39"
123,1,1,"122,78,39,42","301,36,35,38"
124,1,1,"123,78,39,43","301,36,35,38"
125,1,1,"123,78,39,42","301,36,35,38"
126,1,1,"124,78,38,42","301,36,35,38"
127,1,1,"124,78,39,42","302,36,34,38"
128,1,1,"124,77,39,43","302,36,34,38"
129,1,1,"124,77,39,42","302,36,34,38"
130,1,1,"124,77,39,42","302,36,34,38"
131,1,1,"125,76,39,43","303,36,34,38"
132,1,1,"125,76,39,43","303,36,34,38"
133,1,1,"125,76,39,42","303,36,34,38"
134,1,1,"125,76,39,42","303,36,34,38"
135,1,1,"126,75,39,43","303,36,34,38"
136,1,1,"126,75,39,42","303,36,34,38"
137,1,1,"126,74,39,43","303,37,34,37"
138,1,1,"126,74,39,43","303,37,34,38"
139,1,1,"126,74,39,43","304,37,33,38"
140,1,1,"126,74,39,43","304,37,34,37"
141,1,1,"126,74,40,42","304,37,34,38"
142,1,1,"126,74,40,42","304,37,34,38"
143,1,1,"126,73,39,43","304,37,34,38"
144,1,1,"126,73,40,43","304,37,34,38"
145,1,1,"126,73,40,42","304,37,35,39"
146,1,1,"126,72,40,43","305,37,34,39"
147,1,1,"126,72,40,43","305,37,34,39"
148,1,1,"126,73,40,42","305,37,34,39"
149,2,1,"182,48,37,40;127,73,39,42","305,37,34,39"
150,2,1,"181,47,38,41;127,73,39,42","305,37,34,39"
151,2,2,"181,47,38,40;127,73,39,42","369,66,40,44;305,37,35,39"
152,2,2,"181,46,37,40;127,73,39,43","369,66,40,44;305,37,34,39"
153,2,1,"181,46,37,40;127,74,39,42","305,38,35,39"
154,2,1,"181,45,37,41;127,74,39,43","306,38,34,39"
155,1,1,"127,74,39,43","306,38,34,39"
156,1,1,"127,74,39,43","306,38,34,39"
157,1,1,"127,75,39,42","306,38,34,38"
158,1,1,"127,75,39,43","306,38,35,38"
159,2,1,"181,45,38,40;127,76,39,42","306,38,35,38"
160,2,1,"181,45,37,40;127,76,40,43","307,38,34,38"
161,2,1,"181,45,37,39;127,76,40,43","307,38,34,39"
162,2,1,"181,44,37,40;127,76,39,43","307,38,35,38"
163,3,2,"119,63,38,42;181,44,37,40;127,77,40,43","368,69,41,46;308,38,34,39"
164,3,2,"120,64,37,41;181,44,37,40;127,77,40,43","368,70,41,44;308,38,34,38"
165,2,2,"181,44,37,40;127,77,40,43","368,70,40,44;308,38,34,38"
166,2,2,"181,44,38,41;127,78,40,43","368,70,40,44;308,38,34,38"
167,2,2,"181,43,37,41;127,78,39,43","368,70,40,44;308,37,34,39"
168,2,2,"180,43,38,41;126,78,40,43","368,70,40,45;308,37,34,39"
169,2,1,"180,43,38,41;126,78,40,43","308,37,35,38"
170,2,1,"180,43,38,41;126,78,40,43","309,37,34,38"
171,2,1,"181,44,38,41;126,79,40,43","309,37,34,39"
172,2,1,"181,44,37,41;126,79,40,43","309,37,34,39"
173,2,1,"181,45,38,40;126,79,40,43","309,37,35,39"
174,3,1,"360,51,39,42;181,44,38,41;126,79,40,43","309,37,35,39"
175,3,1,"360,51,39,41;181,45,37,40;126,79,39,43","310,36,34,39"
176,2,1,"360,50,38,41;125,78,40,44","310,36,34,39"
177,2,1,"360,50,38,41;125,78,40,43","310,37,35,38"
178,2,1,"360,50,38,41;125,78,40,44","310,37,35,38"
179,2,1,"360,50,39,41;125,78,40,44","311,37,34,39"
180,2,1,"360,50,39,41;125,79,40,43","311,37,34,38"
181,2,1,"360,49,39,41;124,78,41,44","311,37,34,38"
182,2,1,"360,49,39,42;124,79,41,43","311,37,34,39"
183,2,1,"360,49,39,42;124,79,41,43","312,37,33,39"
184,3,1,"180,47,38,41;360,49,39,41;124,79,40,42","312,37,33,38"
185,3,1,"180,48,38,41;360,49,39,41;124,78,41,44","312,38,34,38"
186,3,1,"180,48,38,41;361,49,38,41;125,78,40,44","312,37,34,38"
187,3,1,"180,48,38,41;361,49,38,40;124,78,41,43","312,38,34,38"
188,3,1,"180,48,39,41;361,49,38,40;124,78,41,43","312,38,34,38"
189,3,1,"180,48,39,42;361,49,38,41;124,78,41,43","312,37,34,38"
190,3,1,"180,49,39,42;360,49,39,41;124,77,41,44","313,38,33,38"
191,3,1,"180,49,39,42;361,50,39,42;124,77,41,44","313,38,33,38"
192,3,1,"180,49,39,42;360,50,40,43;124,76,41,45","313,38,34,38"
193,3,1,"180,49,39,42;360,50,39,41;124,76,41,44","313,38,34,39"
194,3,1,"181,49,38,42;360,50,38,40;124,76,41,44","314,38,33,38"
195,3,1,"180,49,39,42;360,50,38,40;125,76,40,44","314,38,33,38"
196,2,1,"180,49,39,42;125,75,41,45","314,38,33,38"
197,2,1,"181,49,39,42;125,75,41,45","314,38,33,39"
198,2,1,"181,49,39,42;125,76,41,44","314,38,33,39"
199,2,1,"181,50,39,41;125,76,41,44","314,38,33,39"
200,3,1,"365,67,42,46;181,50,39,41;125,76,41,44","314,38,33,39"
201,2,1,"181,49,39,42;125,76,41,44","314,38,33,39"
202,2,1,"181,49,39,42;125,76,41,44","314,38,34,39"
203,2,1,"181,48,39,43;125,76,41,44","314,38,34,39"
204,2,1,"181,48,39,42;126,76,40,44","314,38,34,39"
205,2,1,"181,48,39,42;126,76,40,44","314,38,34,39"
206,2,1,"181,48,39,42;126,76,40,44","314,38,34,39"
207,2,1,"181,48,38,42;126,76,41,44","314,38,34,39"
208,2,1,"181,47,38,42;126,77,41,43","315,38,34,39"
209,2,1,"181,47,38,42;127,77,40,43","315,38,34,39"
210,2,2,"181,47,38,42;126,77,41,43","367,68,42,45;315,38,34,39"
211,2,2,"180,46,39,42;127,77,40,44","367,68,41,45;315,38,34,39"
212,2,2,"180,46,39,42;127,78,40,43","367,68,41,44;315,38,34,39"
213,2,2,"180,46,39,42;127,78,40,43","381,96,35,46;315,38,34,39"
214,2,2,"179,46,39,42;127,79,40,43","381,96,35,46;315,38,34,39"
215,2,2,"179,45,39,42;127,79,41,43","381,96,35,46;315,38,34,39"
216,2,2,"179,45,39,42;127,79,41,44","380,95,36,47;315,39,34,38"
217,2,2,"179,45,39,42;128,80,40,43","380,95,36,47;315,39,34,38"
218,2,2,"179,45,39,42;128,81,40,43","380,95,36,46;315,38,34,39"
219,2,2,"179,45,39,42;128,81,40,43","380,95,36,46;315,38,34,39"
220,2,2,"179,45,38,41;128,81,41,43","379,94,37,47;315,39,34,38"
221,2,2,"179,45,38,42;129,82,40,43","379,94,37,47;315,39,34,38"
222,2,2,"179,45,38,41;129,81,40,44","379,94,37,47;315,39,34,39"
223,2,2,"179,45,38,41;129,82,40,44","379,94,37,46;315,39,34,39"
224,2,2,"179,44,38,42;129,82,41,44","379,94,37,46;315,39,34,39"
225,2,2,"179,45,38,41;129,82,41,44","378,94,38,46;315,39,34,39"
226,2,2,"178,45,38,41;130,83,40,44","378,93,38,47;315,40,34,38"
227,2,1,"362,53,39,42;130,83,41,44","315,40,34,38"
228,2,1,"362,53,40,43;130,83,41,44","315,40,34,38"
229,2,1,"362,53,40,42;131,83,40,44","315,40,34,38"
230,2,1,"362,52,40,42;131,83,41,44","315,40,33,39"
231,2,1,"362,52,40,42;131,83,41,44","315,41,33,38"
232,2,1,"362,52,40,42;132,83,41,44","315,41,33,38"
233,2,1,"362,52,40,42;132,83,41,44","314,41,34,38"
234,2,1,"362,52,40,42;132,83,41,44","314,41,34,38"
235,3,1,"176,45,38,42;362,51,40,42;133,83,41,44","314,41,34,38"
236,3,1,"176,45,38,42;362,51,40,42;133,82,41,45","314,41,34,38"
237,3,1,"175,46,39,42;362,51,40,42;133,82,41,44","314,41,34,38"
238,3,1,"175,45,39,43;361,51,41,42;134,82,41,44","314,41,34,38"
239,3,1,"174,45,39,43;361,51,41,42;134,82,41,44","314,41,34,38"
240,3,1,"174,46,39,42;361,50,41,43;134,81,41,44","314,41,33,38"
241,3,1,"174,46,39,43;361,50,41,43;134,81,41,44","314,41,33,38"
242,3,1,"174,47,39,42;361,50,41,43;135,80,41,45","314,41,33,38"
243,3,1,"174,47,39,43;361,50,41,42;135,80,41,45","314,41,33,38"
244,3,1,"173,48,40,43;361,50,40,42;135,80,41,44","314,41,33,38"
245,3,1,"173,48,39,43;361,50,40,42;135,79,41,45","314,41,33,37"
246,3,1,"172,48,40,43;361,50,40,42;135,79,41,45","314,41,33,37"
247,3,1,"172,49,39,42;361,50,40,41;135,79,42,44","314,41,33,37"
248,3,1,"171,49,40,43;361,50,39,41;136,78,41,45","314,40,33,38"
249,3,1,"171,49,40,43;361,50,39,41;136,78,41,45","313,40,34,38"
250,3,1,"171,50,40,43;361,50,39,41;136,78,41,45","313,40,34,38"
251,3,1,"170,49,40,44;361,50,39,41;136,78,41,44","313,39,34,39"
252,3,1,"170,50,40,43;361,51,39,41;136,78,41,44","313,39,33,38"
253,3,1,"170,50,40,43;361,50,39,42;136,78,41,44","313,39,33,38"
254,3,1,"169,50,40,44;361,51,39,41;136,78,41,44","313,39,33,38"
255,3,1,"169,51,40,43;361,51,39,42;136,78,41,44","313,39,33,38"
256,3,1,"168,51,40,43;360,51,40,43;136,78,41,44","313,39,33,38"
257,3,1,"168,51,40,43;360,51,40,42;136,78,42,44","313,39,33,38"
258,3,1,"167,51,40,43;360,52,39,41;136,78,42,45","313,39,33,38"
259,3,1,"167,51,40,43;360,52,39,41;137,79,41,44","313,39,33,38"
260,3,1,"167,51,40,44;360,52,39,41;137,79,41,44","313,39,33,38"
261,3,1,"167,52,40,43;360,53,39,41;137,79,41,45","313,39,33,38"
262,3,1,"166,51,41,43;360,53,38,41;136,79,42,45","313,39,33,38"
263,3,1,"166,51,40,44;360,54,38,40;136,79,42,45","313,39,33,38"
264,3,1,"165,51,40,43;359,54,39,41;137,80,41,44","313,39,33,38"
265,3,1,"165,51,40,43;359,54,39,41;137,80,41,45","313,39,33,38"
266,3,1,"165,50,39,43;359,55,39,41;137,80,41,45","313,39,34,38"
267,3,1,"165,50,40,43;359,55,38,42;137,81,41,44","313,39,34,38"
268,3,1,"165,50,39,42;359,55,38,42;137,81,41,44","313,39,34,38"
269,3,1,"164,50,40,42;358,55,39,43;137,82,41,44","313,39,34,38"
270,3,1,"164,50,40,42;358,56,39,42;137,82,41,44","313,39,34,38"
271,3,1,"164,49,40,43;358,56,39,42;137,82,41,44","313,39,34,38"
272,3,1,"164,49,39,42;358,56,39,42;137,83,41,44","314,39,33,38"
273,3,1,"164,49,39,42;358,56,39,42;137,83,41,44","314,39,33,38"
274,3,1,"163,48,39,42;358,56,38,42;137,83,41,45","314,39,33,38"
275,3,1,"163,48,40,42;358,56,38,42;137,83,41,45","314,38,33,39"
276,3,1,"163,47,40,43;358,56,38,42;136,83,42,45","314,38,33,38"
277,3,2,"163,47,39,43;358,56,38,42;136,83,42,45","349,98,43,47;314,38,33,39"
278,3,2,"163,47,40,43;357,57,39,41;136,84,42,44","348,98,43,46;314,38,33,39"
279,3,2,"163,47,40,43;357,56,38,42;136,84,42,45","347,97,43,47;314,38,34,38"
280,3,2,"163,46,40,44;357,57,38,41;136,84,41,45","347,97,43,47;314,38,34,38"
281,3,1,"163,46,40,44;357,57,38,41;136,84,41,45","314,38,34,39"
282,3,1,"162,46,40,43;356,57,39,41;136,84,41,45","314,39,34,38"
283,3,1,"162,46,40,43;356,56,39,42;136,84,41,45","314,38,34,39"
284,3,1,"162,46,40,43;356,56,39,42;136,85,41,44","315,38,33,39"
285,3,1,"163,46,39,43;356,56,38,42;135,85,42,44","315,38,33,39"
286,3,1,"162,46,40,42;355,56,39,42;135,84,42,45","315,38,34,39"
287,3,1,"163,47,39,41;355,56,39,42;135,85,41,44","315,38,34,39"
288,3,1,"163,47,39,41;355,56,39,42;135,85,41,44","315,38,34,39"
289,4,1,"376,50,41,47;163,47,39,42;355,56,39,41;134,85,42,44","315,38,34,39"
290,4,1,"376,50,41,47;163,47,39,42;355,55,39,42;134,85,42,45","315,39,34,38"
291,3,1,"163,47,39,42;355,55,39,42;134,85,42,45","315,39,34,38"
292,3,1,"163,47,39,42;355,55,39,42;134,84,42,45","315,39,34,38"
293,3,2,"163,47,39,43;355,55,39,42;134,85,42,45","33,46,36,39;316,39,33,38"
294,3,2,"162,47,40,43;355,55,39,42;134,85,42,45","33,46,36,39;316,39,34,38"
295,3,2,"162,47,40,43;355,55,39,42;134,85,42,44","33,45,37,41;316,39,34,38"
296,3,2,"162,47,40,43;355,54,39,43;134,84,42,45","33,45,38,42;316,39,34,39"
297,3,2,"162,48,40,42;355,54,39,42;134,84,42,45","32,44,40,43;316,39,34,39"
298,3,3,"162,48,40,43;355,54,39,42;134,83,42,46","378,76,38,47;32,44,40,43;316,39,34,39"
299,3,3,"162,48,40,43;355,54,39,42;134,83,42,45","378,76,38,47;32,44,40,43;316,39,34,39"
300,3,2,"162,48,40,43;355,53,39,42;134,83,42,45","378,76,38,47;316,40,34,38"
301,3,2,"162,49,40,42;355,53,39,42;134,83,42,45","378,76,38,46;317,40,33,38"
302,3,2,"162,49,39,42;355,53,39,42;134,83,42,45","378,76,38,46;317,40,33,38"
303,3,2,"162,49,39,42;355,53,40,42;134,83,42,45","378,76,38,46;317,40,34,38"
304,3,3,"162,50,39,42;356,53,39,42;135,83,41,45","376,52,41,47;378,76,38,45;317,40,34,38"
305,3,3,"162,50,39,42;356,52,39,43;135,82,42,45","377,52,39,46;378,76,38,45;317,40,34,38"
306,3,3,"162,50,39,42;356,52,39,43;135,82,42,45","377,52,39,46;378,75,38,46;317,40,34,38"
307,3,3,"162,50,39,42;356,52,39,43;135,82,42,45","377,52,40,46;378,75,38,46;318,40,33,38"
308,3,2,"162,51,39,41;356,52,39,43;135,82,42,45","378,75,38,46;318,40,33,38"
309,3,2,"162,51,40,42;356,53,39,42;136,82,41,45","378,75,38,45;318,40,33,38"
310,3,2,"162,51,39,43;355,53,40,42;136,82,42,45","378,75,38,45;318,40,33,38"
311,3,2,"162,52,40,42;355,53,40,43;136,81,41,46","378,74,38,46;318,40,34,38"
312,2,3,"355,53,40,43;136,82,42,45","381,34,33,38;378,74,38,45;318,40,34,38"
313,2,3,"355,53,40,43;136,82,42,45","381,33,33,38;378,73,39,46;318,40,34,38"
314,2,3,"355,53,40,43;136,82,42,45","381,34,33,37;378,73,38,46;319,41,33,37"
315,2,4,"355,54,40,43;136,82,42,45","321,106,44,47;381,34,34,38;378,73,38,46;319,40,33,38"
316,2,4,"355,54,40,43;136,82,42,45","320,105,44,49;381,34,34,38;378,73,39,46;319,41,34,37"
317,2,3,"355,55,40,42;136,82,42,45","319,105,44,49;379,73,38,46;320,40,33,38"
318,2,3,"355,55,41,42;136,83,42,44","318,105,45,49;379,73,38,46;320,40,33,38"
319,2,3,"356,55,39,42;136,83,42,45","318,105,44,49;379,72,38,47;320,41,33,37"
320,2,3,"356,55,40,43;136,83,42,45","318,106,44,48;378,71,38,48;320,40,33,38"
321,2,3,"356,56,40,42;136,84,42,45","317,105,44,49;378,71,39,48;321,40,33,37"
322,2,3,"356,56,40,42;136,84,42,45","316,106,44,48;379,71,38,48;321,40,33,38"
323,2,3,"356,56,40,43;136,84,42,45","315,105,45,49;379,70,38,48;321,40,33,37"
324,2,3,"356,57,40,42;137,85,42,45","315,105,44,48;379,70,38,48;321,40,34,37"
325,3,3,"158,67,40,44;356,57,40,43;137,85,42,45","314,104,44,49;380,70,37,48;322,40,33,37"
326,3,2,"158,67,40,44;356,58,40,42;137,85,42,45","313,104,44,49;322,40,33,37"
327,3,2,"158,67,40,44;357,58,40,43;137,86,42,45","312,104,45,49;322,40,34,38"
328,3,2,"157,67,41,44;357,58,40,43;137,86,42,46","311,103,45,50;322,40,34,38"
329,3,2,"157,67,42,44;357,59,40,43;137,87,42,45","310,103,46,50;323,40,33,38"
330,3,2,"158,67,40,43;358,59,39,43;138,87,42,45","381,72,36,47;322,39,34,38"
331,4,1,"57,33,34,38;158,67,40,42;358,59,39,43;138,87,42,46","323,40,33,37"
332,4,1,"56,33,35,38;158,67,40,43;358,59,40,43;137,87,43,46","323,40,33,38"
333,4,1,"56,34,35,37;158,67,40,44;358,60,40,42;138,88,42,45","324,40,33,38"
334,4,1,"56,34,35,37;158,67,40,43;359,60,39,42;138,88,43,46","324,40,34,38"
335,4,2,"56,33,35,38;158,67,40,43;359,60,39,43;138,88,43,46","307,102,45,49;324,40,34,38"
336,4,4,"56,33,35,38;158,67,40,44;359,60,40,43;139,89,42,46","382,75,35,46;384,51,32,45;305,101,46,50;324,40,34,38"
337,4,3,"56,34,35,37;158,67,40,44;359,60,40,43;139,89,43,46","384,51,33,45;305,101,45,50;324,40,34,38"
338,4,3,"56,34,35,37;157,67,41,44;360,60,39,43;139,89,43,46","384,51,32,45;305,101,45,49;324,40,35,38"
339,4,3,"56,34,34,37;157,67,41,44;360,60,40,43;140,89,42,46","384,51,33,45;303,101,45,49;324,40,35,38"
340,4,2,"56,34,34,37;157,68,41,44;360,60,40,43;140,89,43,46","385,51,32,45;324,40,35,38"
341,4,2,"56,34,34,37;157,68,41,44;360,60,40,42;140,89,43,46","385,51,31,44;324,40,35,39"
342,4,2,"56,34,34,37;157,69,41,45;361,59,39,43;141,89,42,46","385,51,32,45;324,40,35,39"
343,3,2,"156,69,42,45;361,60,40,42;141,89,43,45","384,51,32,45;324,40,35,39"
344,3,2,"156,69,42,46;361,59,40,43;142,89,43,46","384,50,32,47;324,40,35,38"
345,3,1,"156,69,42,47;362,59,39,42;142,90,44,46","384,50,33,47"
346,3,1,"156,70,42,47;362,59,39,43;143,89,43,46","385,50,32,47"
347,4,2,"384,80,32,44;156,70,42,48;362,59,40,43;143,88,43,47","296,102,46,51;385,50,32,47"
348,3,2,"155,70,43,49;362,58,40,43;143,88,43,46","295,103,46,50;385,50,32,47"
349,2,2,"362,58,40,43;144,88,43,46","294,104,46,50;385,49,32,48"
350,2,2,"362,58,40,43;144,88,43,46","293,104,46,50;385,49,32,48"
351,2,3,"363,57,39,43;144,87,43,47","163,47,42,45;293,104,45,50;385,49,32,48"
352,2,3,"363,57,39,43;144,87,43,47","164,47,40,43;292,105,45,49;385,49,32,48"
353,2,2,"363,57,39,43;145,87,42,46","165,48,39,42;385,49,32,48"
354,2,2,"363,57,39,42;145,87,43,46","164,48,40,42;385,49,32,48"
355,2,2,"364,56,38,42;145,86,43,47","164,48,40,42;385,49,32,49"
356,2,2,"364,56,38,42;145,86,43,47","164,48,40,42;385,49,32,48"
357,3,2,"287,109,43,47;364,56,38,41;145,86,43,46","164,47,40,43;385,50,32,47"
358,3,2,"287,111,40,44;364,56,39,41;146,85,42,47","164,47,40,43;385,49,32,48"
359,3,1,"287,111,42,46;364,55,39,43;146,85,42,47","163,47,41,44"
360,2,1,"363,54,40,43;146,85,42,46","163,48,41,43"
361,3,1,"53,32,33,35;363,54,40,43;145,85,43,46","163,47,41,44"
362,3,1,"52,32,33,35;363,54,40,43;145,85,43,46","163,48,41,43"
363,3,1,"52,32,33,35;363,53,40,44;146,85,42,45","163,48,41,43"
364,2,1,"363,53,40,44;146,84,42,47","162,48,42,44"
365,2,1,"363,53,40,44;146,85,42,45","163,49,41,43"
366,2,1,"363,53,40,44;146,85,42,45","163,49,41,43"
367,2,1,"363,53,40,44;146,85,42,45","163,49,41,44"
368,2,1,"363,53,40,44;146,85,42,45","163,49,41,44"
369,2,1,"363,53,40,44;146,85,42,45","163,50,41,43"
370,2,1,"363,53,41,44;146,86,42,45","163,50,41,43"
371,2,1,"363,53,41,44;146,86,42,45","164,51,40,43"
372,2,1,"363,53,41,44;146,86,42,45","163,51,41,43"
373,2,0,"363,54,41,44;146,86,42,46",
374,2,0,"363,54,41,44;146,87,42,45",
375,2,0,"363,55,41,43;147,88,42,46",
376,2,0,"363,55,41,44;146,88,43,46",
377,2,0,"363,55,41,44;146,88,43,46",
378,2,0,"363,55,41,44;146,88,43,46",
379,2,0,"363,56,41,43;146,89,42,46",
380,2,0,"363,56,41,44;146,89,42,46",
381,3,0,"45,31,35,37;363,56,41,44;146,90,42,46",
382,3,0,"45,31,34,37;363,57,41,44;146,90,42,46",
383,3,0,"45,32,34,36;363,58,41,44;146,91,43,46",
384,3,0,"45,32,34,36;364,58,40,43;146,91,42,46",
385,3,0,"45,32,33,36;364,58,40,43;146,91,42,46",
386,2,0,"364,59,40,43;145,91,43,47",
387,2,0,"363,59,41,44;145,92,43,46",
388,2,0,"363,59,41,44;145,91,43,47",
389,2,0,"363,60,41,44;145,92,43,46",
390,3,0,"257,105,46,49;363,60,41,44;145,92,43,46",
391,3,0,"256,105,47,50;363,60,40,44;144,92,43,46",
392,3,0,"255,105,47,50;363,61,40,44;144,92,43,47",
393,4,0,"156,67,45,50;254,105,47,50;363,61,41,44;144,92,43,47",
394,4,0,"155,66,47,52;254,105,46,50;363,61,40,44;144,92,43,47",
395,4,0,"157,67,44,48;253,105,47,51;363,61,40,44;143,92,44,47",
396,4,0,"157,67,45,49;252,105,46,51;363,61,40,44;143,92,44,46",
397,4,0,"157,66,45,50;251,106,46,50;362,61,41,44;143,91,44,47",
398,4,0,"158,67,44,49;251,106,46,51;362,61,41,44;143,92,44,47",
399,4,0,"158,66,45,50;250,106,46,50;362,61,41,44;143,92,43,47",
400,4,0,"158,67,45,49;249,107,47,50;362,61,41,44;143,91,43,47",
401,4,0,"159,68,44,48;249,107,46,50;362,61,41,44;143,91,43,47",
402,4,0,"160,69,43,47;248,108,46,50;362,61,41,44;143,91,43,46",
403,4,0,"161,70,42,46;247,109,47,50;362,61,40,44;143,90,43,46",
404,4,0,"161,69,42,46;246,109,47,51;361,62,41,44;143,90,43,46",
405,4,0,"161,70,42,46;246,110,46,50;361,61,41,45;145,90,42,45",
406,4,0,"161,71,43,46;245,110,47,51;361,61,41,44;145,90,42,46",
407,4,0,"161,71,43,46;245,111,46,50;361,61,41,44;145,90,42,46",
408,4,0,"161,72,43,46;244,112,46,50;361,61,41,44;145,90,42,46",
409,4,0,"161,72,43,47;244,112,46,50;361,61,41,44;145,90,42,46",
410,4,0,"161,73,43,47;243,112,46,51;361,60,41,44;146,90,42,46",
411,4,0,"161,73,44,48;243,113,46,51;361,60,41,44;146,90,42,46",
412,3,0,"242,113,46,51;361,60,41,44;147,89,41,46",
413,3,0,"242,113,46,51;361,59,41,44;147,89,41,46",
414,3,0,"241,114,46,50;361,59,41,44;147,89,42,45",
415,3,1,"241,115,45,49;361,59,41,44;147,88,42,46","381,82,35,47"
416,3,1,"241,115,45,49;362,59,41,43;148,88,41,45","381,81,35,48"
417,3,1,"240,114,46,51;361,59,41,43;148,88,42,45","380,81,36,49"
418,3,1,"240,114,46,51;362,58,41,44;148,88,41,45","380,82,36,48"
419,3,1,"240,115,45,50;362,58,41,43;147,88,42,46","380,82,36,48"
420,3,1,"239,115,47,51;362,57,41,44;147,88,42,46","380,81,36,49"
421,4,1,"163,51,44,48;238,115,47,52;362,57,41,43;145,88,44,47","380,81,36,49"
422,5,1,"32,54,40,42;163,51,44,48;238,116,46,51;362,57,41,43;145,89,44,47","380,81,36,48"
423,5,1,"33,54,40,42;163,51,44,47;238,116,47,51;362,57,41,43;146,89,43,47","379,81,37,49"
424,4,2,"164,52,43,46;237,116,47,50;363,57,41,44;146,89,43,47","324,41,34,38;379,81,37,48"
425,3,2,"236,116,48,51;363,57,41,43;146,90,44,47","324,41,34,38;379,81,37,48"
426,4,2,"167,78,42,47;235,116,48,51;363,57,41,43;145,90,44,47","324,41,34,38;379,81,37,48"
427,4,2,"168,77,42,48;235,116,48,52;363,56,41,44;145,90,44,46","325,41,33,38;379,80,37,49"
428,3,2,"235,116,48,52;363,56,41,44;146,90,44,46","325,41,34,38;379,80,37,48"
